,Unnamed: 0,Unnamed: 0.1,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date,total_pronouns,female_mentions,male_mentions,total,male_skewness,male_skewness_log
0,0,0,PG10007_text,Carmilla,"Le Fanu, Joseph Sheridan",1814.0,1873.0,['en'],4487,"{'Young women -- Fiction', 'Vampires -- Fiction'}",joseph,M,1864,4273,674,437,1111,0.6483679525222552,-0.43329691581671687
1,1,1,PG10012_text,The Mountains of California,"Muir, John",1838.0,1914.0,['en'],90,"{'Mountain ecology -- California', 'Natural history -- Sierra Nevada (Calif. and Nev.)', 'Natural history -- California', 'Muir, John, 1838-1914 -- Travel -- Sierra Nevada (Calif. and Nev.)', 'Naturalists -- United States -- Biography', 'Mountain ecology -- Sierra Nevada (Calif. and Nev.)', 'California -- Description and travel', 'Sierra Nevada (Calif. and Nev.)'}",john,M,1888,4611,25,490,515,19.6,2.9755295662364714
2,2,2,PG10031_text,The Complete Poetical Works of Edgar Allan Poe: Including Essays on Poetry,"Poe, Edgar Allan",1809.0,1849.0,['en'],401,"{'Fantasy poetry, American'}",edgar,M,1859,5404,383,889,1272,2.3211488250652743,0.8420622463332587
3,3,3,PG10070_text,Stories of Great Americans for Little Americans,"Eggleston, Edward",1837.0,1902.0,['en'],145,{'United States -- Biography -- Juvenile literature'},edward,M,1887,3543,266,1550,1816,5.827067669172933,1.7625139011315933
4,4,4,PG10110_text,The Postmaster's Daughter,"Tracy, Louis",1863.0,1928.0,['en'],30,"{'Villages -- England -- Fiction', 'Detective and mystery stories'}",louis,M,1913,7399,557,2083,2640,3.7396768402154397,1.318999201333688
5,5,5,PG10140_text,Rhetoric and Poetry in the Renaissance: A Study of Rhetorical Terms in English Renaissance Literary Criticism,"Clark, Donald Lemen",1888.0,1966.0,['en'],76,"{'Poetry -- History and criticism', 'Criticism -- Great Britain -- History -- 17th century', 'Rhetoric -- Terminology', 'Renaissance', 'Criticism -- Great Britain -- History -- 16th century', 'English language -- Early modern, 1500-1700 -- Terms and phrases'}",donald,M,1938,2214,50,845,895,16.9,2.8273136219290276
6,6,6,PG10150_text,Dracula's Guest,"Stoker, Bram",1847.0,1912.0,['en'],779,"{'Short stories', 'Horror tales', 'Gothic fiction'}",bram,M,1897,7043,707,2139,2846,3.0254596888260257,1.107063043185833
7,7,7,PG1015_text,The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,"Parkman, Francis",1823.0,1893.0,['en'],410,"{'Parkman, Francis, 1823-1893 -- Travel -- West (U.S.)', 'Oregon National Historic Trail', 'Indians of North America -- West (U.S.)', 'California National Historic Trail', 'West (U.S.) -- Description and travel', 'West (U.S.) -- History -- To 1848', 'Frontier and pioneer life -- West (U.S.)'}",francis,M,1873,12897,248,3617,3865,14.584677419354838,2.679971485787116
8,8,8,PG1017_text,The Soul of Man under Socialism,"Wilde, Oscar",1854.0,1900.0,['en'],438,{'Socialism'},oscar,M,1904,1457,8,306,314,38.25,3.644143560272545
9,9,9,PG1018_text,The Water-Babies,"Kingsley, Charles",1819.0,1875.0,['en'],452,"{'Fairy tales -- England', 'Chimney sweeps -- Juvenile fiction'}",charles,M,1869,8514,752,2565,3317,3.410904255319149,1.22697743365503
10,10,10,PG1019_text,"Poems by Currer, Ellis, and Acton Bell","Brontë, Anne",1820.0,1849.0,['en'],274,{'English poetry -- 19th century'},anne,F,1870,3246,362,290,652,0.8011049723756906,-0.2217632888452514
11,11,11,PG1022_text,Walking,"Thoreau, Henry David",1817.0,1862.0,['en'],593,"{'Walking', 'Nature', 'Essays'}",henry,M,1867,1193,19,138,157,7.2631578947368425,1.9828147059907641
12,12,12,PG1024_text,The Wrecker,"Osbourne, Lloyd",1868.0,1947.0,['en'],119,"{'Shipwrecks -- Fiction', 'Avarice -- Fiction', 'Treasure troves -- Fiction'}",lloyd,M,1918,18013,484,3609,4093,7.456611570247934,2.0091010979261568
13,13,13,PG1027_text,The Lone Star Ranger: A Romance of the Border,"Grey, Zane",1872.0,1939.0,['en'],165,"{'Mexican-American Border Region -- Fiction', 'Western stories'}",zane,M,1922,12778,833,5340,6173,6.410564225690276,1.8579472897873976
14,14,14,PG1028_text,The Professor,"Brontë, Charlotte",1816.0,1855.0,['en'],321,"{'Brussels (Belgium) -- Fiction', 'Belgium -- Social life and customs -- 19th century -- Fiction', 'Women teachers -- Fiction', 'Love stories', 'British -- Belgium -- Fiction', 'Triangles (Interpersonal relations) -- Fiction'}",charlotte,F,1866,12426,2170,1431,3601,0.659447004608295,-0.41635366697805426
15,15,15,PG1029_text,The Night-Born,"London, Jack",1876.0,1916.0,['en'],186,"{'Short stories', 'Adventure and adventurers -- Fiction'}",jack,M,1926,7095,617,2478,3095,4.016207455429497,1.3903380382836998
16,16,16,PG102_text,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",1835.0,1910.0,['en'],1102,"{'Infants switched at birth -- Fiction', 'Legal stories', 'Missouri -- Fiction', 'Race relations -- Fiction', 'Impostors and imposture -- Fiction', 'Passing (Identity) -- Fiction', 'Trials (Murder) -- Fiction'}",mark,M,1885,7007,801,2072,2873,2.5867665418227217,0.9504086563110146
17,17,17,PG1031_text,"Charmides, and Other Poems","Wilde, Oscar",1854.0,1900.0,['en'],93,{'Poetry'},oscar,M,1904,866,118,209,327,1.771186440677966,0.5716496274991463
18,18,18,PG1032_text,The Pupil,"James, Henry",1843.0,1916.0,['en'],214,{'Fiction'},henry,M,1893,2661,205,892,1097,4.351219512195122,1.4704561534416012
19,19,19,PG10339_text,An Antarctic Mystery,"Verne, Jules",1828.0,1905.0,['en'],252,{'Antarctica -- Discovery and exploration -- Fiction'},jules,M,1878,7957,152,1746,1898,11.486842105263158,2.441202215553271
20,20,20,PG10345_text,Domestic Manners of the Americans,"Trollope, Frances Milton",1780.0,1863.0,['en'],189,"{'Trollope, Frances Milton, 1780-1863 -- Travel -- United States', 'United States -- Social life and customs -- 1783-1865', 'United States -- Description and travel', 'United States -- Social conditions -- To 1865'}",frances,F,1830,10957,686,1281,1967,1.8673469387755102,0.624518674170849
21,21,21,PG10367_text,Poems,"Carr, John, Sir",1772.0,1832.0,['en'],7,{'Poetry'},john,M,1822,1860,332,255,587,0.7680722891566265,-0.2638714237580624
22,22,22,PG1036_text,Joe Wilson and His Mates,"Lawson, Henry",1867.0,1922.0,['en'],82,"{'Frontier and pioneer life -- Australia -- Fiction', 'Historical fiction', 'Australia -- Fiction'}",henry,M,1917,11283,1302,2302,3604,1.7680491551459294,0.5698767665133135
23,23,23,PG1038_text,Style,"Raleigh, Walter Alexander, Sir",1861.0,1922.0,['en'],45,"{'Style, Literary'}",walter,M,1911,1817,20,458,478,22.9,3.131136910560194
24,24,24,PG103_text,Around the World in Eighty Days,"Verne, Jules",1828.0,1905.0,['en'],5170,"{'Adventure stories', 'Voyages around the world -- Fiction'}",jules,M,1878,5583,290,2291,2581,7.9,2.066862759472976
25,25,25,PG1042_text,"A Reading of Life, with Other Poems","Meredith, George",1828.0,1909.0,['en'],14,{'English poetry'},george,M,1878,1279,283,260,543,0.9187279151943463,-0.08476526662770992
26,26,26,PG1044_text,Extract from Captain Stormfield's Visit to Heaven,"Twain, Mark",1835.0,1910.0,['en'],196,"{'Satire', 'Voyages, Imaginary', 'Ship captains -- Fiction', 'Religious fiction', 'Heaven -- Fiction'}",mark,M,1885,2204,60,324,384,5.4,1.6863989535702286
27,27,27,PG10453_text,A Practical Physiology: A Text-Book for Higher Schools,"Blaisdell, Albert F. (Albert Franklin)",1847.0,1927.0,['en'],107,"{'Human physiology', 'Physiology'}",albert,M,1897,4044,7,218,225,31.142857142857142,3.438584913733776
28,28,28,PG1048_text,The Ruling Passion: Tales of Nature and Human Nature,"Van Dyke, Henry",1852.0,1933.0,['en'],25,"{'Fiction', 'Short stories, American'}",henry,M,1902,6465,439,1861,2300,4.239179954441913,1.4443698435670793
29,29,29,PG10538_text,Hyacinth,"Birmingham, George A.",1865.0,1950.0,['en'],42,"{'Ireland -- Fiction', 'Young men -- Fiction'}",george,M,1915,10092,871,3023,3894,3.470723306544202,1.2443630179269551
30,30,30,PG1053_text,Within the Tides: Tales,"Conrad, Joseph",1857.0,1924.0,['en'],56,"{'Short stories, English', 'Fiction'}",joseph,M,1907,7900,859,3325,4184,3.8707799767171127,1.3534560311056991
31,31,31,PG1054_text,A Collection of Ballads,"Lang, Andrew",1844.0,1912.0,['en'],56,"{'Ballads, Scots -- Scotland -- Texts'}",andrew,M,1894,5783,739,1302,2041,1.7618403247631935,0.5663589018203128
32,32,32,PG10552_text,Roy Blakeley: His Story,"Fitzhugh, Percy Keese",1876.0,1950.0,['en'],13,{'Boy Scouts of America -- Juvenile fiction'},percy,M,1926,7756,63,1538,1601,24.41269841269841,3.1951034236740563
33,33,33,PG1055_text,'Twixt Land & Sea: Tales,"Conrad, Joseph",1857.0,1924.0,['en'],79,"{'Ship captains -- Fiction', 'Indian Ocean -- Fiction'}",joseph,M,1907,9940,1159,2634,3793,2.272648835202761,0.8209460389634746
34,34,34,PG1056_text,Martin Eden,"London, Jack",1876.0,1916.0,['en'],716,"{'Working class -- Fiction', 'Authors -- Fiction', 'San Francisco (Calif.) -- Fiction', 'Autobiographical fiction', 'Bildungsromans', 'Young men -- Fiction'}",jack,M,1926,21151,2508,8349,10857,3.3289473684210527,1.202656148441189
35,35,35,PG1057_text,"Poems, with The Ballad of Reading Gaol","Wilde, Oscar",1854.0,1900.0,['en'],551,"{'Prisons -- Poetry', 'Poetry'}",oscar,M,1904,2842,265,558,823,2.1056603773584905,0.7446291363950888
36,36,36,PG1058_text,The Mirror of the Sea,"Conrad, Joseph",1857.0,1924.0,['en'],128,"{'Seafaring life', 'Conrad, Joseph, 1857-1924 -- Travel'}",joseph,M,1907,5521,540,1302,1842,2.411111111111111,0.8800876832101944
37,37,37,PG10593_text,Great Possessions,"Grayson, David",1870.0,1946.0,['en'],12,"{'Massachusetts -- Intellectual life -- 20th century', 'Authors, American -- 20th century -- Biography', 'Grayson, David, 1870-1946 -- Homes and haunts -- Massachusetts -- Amherst Region', 'Amherst Region (Mass.) -- Social life and customs', 'Country life -- Massachusetts -- Amherst Region'}",david,M,1920,4787,176,1010,1186,5.738636363636363,1.7472216147971533
38,38,38,PG1060_text,Grass of Parnassus,"Lang, Andrew",1844.0,1912.0,['en'],20,{'Poetry'},andrew,M,1894,1066,101,104,205,1.0297029702970297,0.029270382300113237
39,39,39,PG10624_text,Three John Silence Stories,"Blackwood, Algernon",1869.0,1951.0,['en'],137,"{'Supernatural -- Fiction', 'Horror tales, English', 'Paranormal fiction, English', 'Detective and mystery stories, English', 'Silence, John (Fictitious character) -- Fiction', 'Ghost stories, English', 'Psychics -- Fiction'}",algernon,M,1919,8557,455,2857,3312,6.279120879120879,1.8372299832798227
40,40,40,PG10625_text,A Concise Dictionary of Middle English from A.D. 1150 to 1580,"Skeat, Walter W. (Walter William)",1835.0,1912.0,['en'],344,"{'English language -- Middle English, 1100-1500 -- Dictionaries'}",walter,M,1885,943,36,96,132,2.6666666666666665,0.9808292530117262
41,41,41,PG1064_text,The Masque of the Red Death,"Poe, Edgar Allan",1809.0,1849.0,['en'],1406,"{'Horror tales, American'}",edgar,M,1859,151,1,43,43,43.0,3.7612001156935624
42,42,42,PG1065_text,The Raven,"Poe, Edgar Allan",1809.0,1849.0,['en'],404,"{'Ravens -- Poetry', 'Fantasy poetry, American'}",edgar,M,1859,126,1,14,15,14.0,2.6390573296152584
43,43,43,PG10667_text,Snake and Sword: A Novel,"Wren, Percival Christopher",1885.0,1941.0,['en'],15,{'British -- India -- Fiction'},percival,M,1935,8096,590,3218,3808,5.454237288135594,1.6963927906525635
44,44,44,PG1066_text,William the Conqueror,"Freeman, Edward A. (Edward Augustus)",1823.0,1892.0,['en'],72,"{'Great Britain -- Kings and rulers -- Biography', 'Great Britain -- History -- William I, 1066-1087', 'William I, King of England, 1027 or 8-1087', 'Normans -- Great Britain -- Biography'}",edward,M,1873,4287,66,2280,2346,34.54545454545455,3.5422759799220613
45,45,45,PG10712_text,"White Jacket; Or, The World on a Man-of-War","Melville, Herman",1819.0,1891.0,['en'],153,"{'Naval discipline -- Fiction', 'Sailors -- Fiction', 'United States -- History, Naval -- 19th century -- Fiction', 'Flagellation -- Fiction', 'Warships -- Fiction', 'Sea stories'}",herman,M,1869,12272,162,3151,3313,19.450617283950617,2.9678788065248907
46,46,46,PG1074_text,The Sea-Wolf,"London, Jack",1876.0,1916.0,['en'],1142,"{'Arctic regions -- Fiction', 'Sealing ships -- Fiction', 'Ship captains -- Fiction', 'Sealers (Persons) -- Fiction', 'Sea stories'}",jack,M,1926,15335,1127,2877,4004,2.5527950310559007,0.9371888495117716
47,47,47,PG1075_text,The Strength of the Strong,"London, Jack",1876.0,1916.0,['en'],107,{'Socialism -- Fiction'},jack,M,1926,4811,496,1404,1900,2.8306451612903225,1.0405046578608288
48,48,48,PG10766_text,Enquire Within Upon Everything: The Great Victorian Domestic Standby,"Philp, Robert Kemp",1819.0,1882.0,['en'],166,"{'Handbooks, vade-mecums, etc.'}",robert,M,1869,11266,359,1356,1715,3.777158774373259,1.328972080012062
49,49,49,PG1076_text,The Wallet of Kai Lung,"Bramah, Ernest",1867.0,1942.0,['en'],73,"{'Fantasy fiction', 'Kai Lung (Fictitious character) -- Fiction'}",ernest,M,1917,6036,244,2910,3154,11.926229508196721,2.4787401348723366
50,50,50,PG1077_text,The Mirror of Kong Ho,"Bramah, Ernest",1867.0,1942.0,['en'],33,"{'Epistolary fiction', 'Humorous stories', 'England -- Fiction', 'Chinese -- England -- Fiction'}",ernest,M,1917,4452,138,986,1124,7.144927536231884,1.9664026694454309
51,51,51,PG1078_text,The Scouts of the Valley,"Altsheler, Joseph A. (Joseph Alexander)",1862.0,1919.0,['en'],23,"{'Wyoming Valley (Pa.) -- Fiction', 'Chemung River Valley (N.Y. and Pa.) -- Fiction', 'Historical fiction'}",joseph,M,1912,11404,255,3813,4068,14.952941176470588,2.7049080146991376
52,52,52,PG107_text,Far from the Madding Crowd,"Hardy, Thomas",1840.0,1928.0,['en'],1037,"{'Didactic fiction', 'Women farmers -- Fiction', 'Love stories', 'Farm life -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Pastoral fiction', 'Wessex (England) -- Fiction'}",thomas,M,1890,15919,2912,3276,6188,1.125,0.11778303565638346
53,53,53,PG1081_text,Dead Souls,"Gogol, Nikolai Vasilevich",1809.0,1852.0,['en'],2470,"{'Swindlers and swindling -- Russia -- Fiction', 'Humorous stories', 'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Satire'}",nikolai,M,1859,15329,446,4923,5369,11.038116591928251,2.4013544277381365
54,54,54,PG1083_text,The Arrow of Gold: A Story Between Two Notes,"Conrad, Joseph",1857.0,1924.0,['en'],58,"{'Adventure stories', 'Marseille (France) -- Fiction', 'Illegal arms transfers -- Fiction', 'Young men -- Fiction', 'Sea stories'}",joseph,M,1907,16302,2659,2521,5180,0.9481007897705904,-0.053294464055100015
55,55,55,PG10861_text,"Paris under the Commune: The Seventy-Three Days of the Second Siege; with Numerous Illustrations, Sketches Taken on the Spot, and Portraits (from the Original Photographs)","Leighton, John",1822.0,1912.0,['en'],128,"{'Paris (France) -- History -- Commune, 1871'}",john,M,1872,10537,258,1733,1991,6.717054263565892,1.9046497047939885
56,56,56,PG1086_text,A Horse's Tale,"Twain, Mark",1835.0,1910.0,['en'],159,{'Fiction'},mark,M,1885,2889,598,408,1006,0.6822742474916388,-0.38232357954647006
57,57,57,PG1088_text,Rolf in the Woods,"Seton, Ernest Thompson",1860.0,1946.0,['en'],49,"{'Camping -- Fiction', 'Scouts (Reconnaissance) -- Fiction', 'Scouting (Reconnaissance) -- Fiction', 'Indians of North America -- Fiction'}",ernest,M,1910,9905,261,3737,3998,14.31800766283525,2.6615180221627903
58,58,58,PG1089_text,"Moon-Face, and Other Stories","London, Jack",1876.0,1916.0,['en'],220,"{'Short stories', 'United States -- Social life and customs -- 20th century -- Fiction'}",jack,M,1926,6898,698,1782,2480,2.5530085959885387,0.9372725052683821
59,59,59,PG108_text,The Return of Sherlock Holmes,"Doyle, Arthur Conan",1859.0,1930.0,['en'],1740,"{'Holmes, Sherlock (Fictitious character) -- Fiction', 'Detective and mystery stories, English'}",arthur,M,1909,16585,784,3704,4488,4.724489795918367,1.552759575415662
60,60,60,PG1095_text,The Light of the Western Stars,"Grey, Zane",1872.0,1939.0,['en'],140,"{'Women pioneers -- Fiction', 'Western stories', 'New Mexico -- Fiction'}",zane,M,1922,16505,3723,3869,7592,1.0392156862745099,0.03846628082779614
61,61,61,PG1097_text,Mrs. Warren's Profession,"Shaw, Bernard",1856.0,1950.0,['en'],1086,"{'Working class women -- Great Britain -- Drama', 'Great Britain -- Social conditions -- 19th century -- Drama', 'Prostitution -- Great Britain -- Drama', 'Prostitutes -- Great Britain -- Drama'}",bernard,M,1906,5108,617,522,1139,0.8460291734197731,-0.16720143602274906
62,62,62,PG1098_text,The Turmoil: A Novel,"Tarkington, Booth",1869.0,1946.0,['en'],69,"{'Children of the rich -- Fiction', 'Middle West -- Fiction', 'Bildungsromans', 'City and town life -- Fiction', 'Social classes -- Fiction', 'Young men -- Fiction', 'Domestic fiction'}",booth,M,1919,15407,2023,3655,5678,1.8067226890756303,0.5915145350161335
63,63,63,PG1099_text,The Riverman,"White, Stewart Edward",1873.0,1946.0,['en'],67,"{'Loggers -- Fiction', 'Conduct of life -- Fiction', 'Youth -- Conduct of life -- Fiction', 'Labor movement -- Fiction', 'Rivers -- Fiction', 'Adventure and adventurers -- Fiction'}",stewart,M,1923,11641,1225,3560,4785,2.906122448979592,1.0668197008672489
64,64,64,PG11013_text,"Letters of a Traveller; Or, Notes of Things Seen in Europe and America","Bryant, William Cullen",1794.0,1878.0,['en'],47,"{'Europe -- Description and travel', 'Cuba -- Description and travel', 'United States -- Description and travel'}",william,M,1844,7952,171,943,1114,5.514619883040936,1.7074027261307978
65,65,65,PG11030_text,"Incidents in the Life of a Slave Girl, Written by Herself","Jacobs, Harriet A. (Harriet Ann)",1813.0,1897.0,['en'],4968,"{'Jacobs, Harriet A. (Harriet Ann), 1813-1897', 'Slaves -- United States -- Biography', 'Slaves -- United States -- Social conditions', 'Women slaves -- United States -- Biography'}",harriet,F,1863,14155,2115,2447,4562,1.1569739952718676,0.1458079719622933
66,66,66,PG110_text,Tess of the d'Urbervilles: A Pure Woman,"Hardy, Thomas",1840.0,1928.0,['en'],3595,"{'Didactic fiction', 'Children of the rich -- Fiction', 'Poor families -- Fiction', 'Women murderers -- Fiction', 'Children of clergy -- Fiction', 'Man-woman relationships -- Fiction', 'Women household employees -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Pastoral fiction', 'Wessex (England) -- Fiction', 'Rape victims -- Fiction'}",thomas,M,1890,20166,5247,3827,9074,0.7293691633314274,-0.31557527826100956
67,67,67,PG11100_text,History of Modern Philosophy: From Nicolas of Cusa to the Present Time,"Falckenberg, Richard",1851.0,1920.0,['en'],43,"{'Philosophy, Modern -- History'}",richard,M,1901,12032,53,2713,2766,51.18867924528302,3.93551839910681
68,68,68,PG11124_text,Northumberland Yesterday and To-day,"Terry, Jean F. (Jean Finlay)",1865.0,1951.0,['en'],35,"{'Northumberland (England) -- History', 'Northumberland (England) -- Guidebooks'}",jean,F,1915,4094,261,1138,1399,4.360153256704981,1.4725072073635828
69,69,69,PG11130_text,Greek in a Nutshell,"Strong, James",1822.0,1894.0,['en'],54,{'Greek language -- Grammar'},james,M,1872,151,1,23,23,23.0,3.1354942159291497
70,70,70,PG11140_text,"Rollo at Play; Or, Safe Amusements","Abbott, Jacob",1803.0,1879.0,['en'],21,"{'Children -- Conduct of life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Amusements -- Juvenile fiction', 'Play -- Juvenile fiction'}",jacob,M,1853,4523,232,1542,1774,6.646551724137931,1.894098182456965
71,71,71,PG11193_text,Elegies and Other Small Poems,"Betham, Matilda",1776.0,1852.0,['en'],7,{'English poetry -- 18th century'},matilda,F,1826,1263,144,260,404,1.8055555555555556,0.5908683314395271
72,72,72,PG111_text,Freckles,"Stratton-Porter, Gene",1863.0,1924.0,['en'],174,"{'People with disabilities -- Fiction', 'Indiana -- Fiction', 'Swamps -- Fiction', 'Orphans -- Fiction'}",gene,M,1913,12815,1724,3442,5166,1.9965197215777262,0.6914055255478463
73,73,73,PG11200_text,"The World War and What was Behind It; Or, The Story of the Map of Europe","Bénézet, Louis Paul",1878.0,1961.0,['en'],48,"{'World War, 1914-1918 -- Causes', 'Europe -- History'}",louis,M,1928,3835,339,636,975,1.8761061946902655,0.6291984559596718
74,74,74,PG11231_text,"Bartleby, the Scrivener: A Story of Wall-Street","Melville, Herman",1819.0,1891.0,['en'],2368,"{'Psychological fiction', 'Copyists -- Fiction', 'Young men -- Fiction', 'Wall Street (New York, N.Y.) -- Fiction', 'New York (N.Y.) -- Fiction'}",herman,M,1869,2058,1,597,598,597.0,6.391917113392602
75,75,75,PG11269_text,Virgie's Inheritance,"Sheldon, Georgie, Mrs.",1843.0,1926.0,['en'],24,{'American fiction -- 19th century'},georgie,F,1893,9876,2855,2130,4985,0.7460595446584939,-0.2929498633866398
76,76,76,PG11354_text,The Irrational Knot: Being the Second Novel of His Nonage,"Shaw, Bernard",1856.0,1950.0,['en'],29,"{'Marriage -- Fiction', 'Social classes -- Fiction'}",bernard,M,1906,20712,2990,2935,5925,0.9816053511705686,-0.018565934122535276
77,77,77,PG11371_text,The Moorland Cottage,"Gaskell, Elizabeth Cleghorn",1810.0,1865.0,['en'],69,{'England -- Social life and customs -- 19th century -- Fiction'},elizabeth,F,1860,6378,1403,1386,2789,0.9878831076265147,-0.012190900352612354
78,78,78,PG113_text,The Secret Garden,"Burnett, Frances Hodgson",1849.0,1924.0,['en'],5824,"{'Gardens -- Juvenile fiction', 'People with disabilities -- Juvenile fiction', 'Yorkshire (England) -- Juvenile fiction', 'Orphans -- Juvenile fiction'}",frances,F,1899,13132,2872,3336,6208,1.1615598885793872,0.14976383331052256
79,79,79,PG11409_text,The Red Rover: A Tale,"Cooper, James Fenimore",1789.0,1851.0,['en'],104,{'Newport (R.I.) -- Fiction'},james,M,1839,17975,1426,5069,6495,3.5546984572230014,1.268270237498108
80,80,80,PG1141_text,Selected Poems of Oscar Wilde,"Wilde, Oscar",1854.0,1900.0,['en'],148,{'Poetry'},oscar,M,1904,997,20,270,290,13.5,2.6026896854443837
81,81,81,PG1142_text,Typhoon,"Conrad, Joseph",1857.0,1924.0,['en'],354,"{'Ship captains -- Fiction', 'Adventure stories', 'Typhoons -- Fiction', 'Sea stories'}",joseph,M,1907,3318,220,1369,1589,6.222727272727273,1.8282082789360874
82,82,82,PG11438_text,The Willows,"Blackwood, Algernon",1869.0,1951.0,['en'],739,{'Horror tales'},algernon,M,1919,2537,10,405,415,40.5,3.7013019741124933
83,83,83,PG1144_text,In the Cage,"James, Henry",1843.0,1916.0,['en'],251,"{'Didactic fiction', 'Telegraphers -- Fiction'}",henry,M,1893,5459,1830,992,2822,0.5420765027322404,-0.6123481385505939
84,84,84,PG1145_text,Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim: Sequel to The Prisoner of Zenda,"Hope, Anthony",1863.0,1933.0,['en'],100,"{'Adventure stories', 'Impostors and imposture -- Fiction', 'British -- Foreign countries -- Fiction'}",anthony,M,1913,12864,1099,4132,5231,3.7597816196542313,1.324360875835908
85,85,85,PG11496_text,Poetry,"Quiller-Couch, Arthur",1863.0,1944.0,['en'],16,{'Poetry'},arthur,M,1913,950,27,256,283,9.481481481481481,2.249340578475233
86,86,86,PG11522_text,Deadly Pollen,"Oliver, Stephen",1950.0,,['en'],25,{'Poetry'},stephen,M,2000,254,1,31,31,31.0,3.4339872044851463
87,87,87,PG11534_text,The Lions of the Lord: A Tale of the Old West,"Wilson, Harry Leon",1867.0,1939.0,['en'],52,"{'Mormon pioneers -- Fiction', 'Historical fiction', 'Western stories'}",harry,M,1917,16337,1896,5255,7151,2.7716244725738397,1.0194336004960844
88,88,88,PG1154_text,The Voyages of Doctor Dolittle,"Lofting, Hugh",1886.0,1947.0,['en'],359,"{'Voyages and travels -- Juvenile fiction', 'Fantasy literature', 'Animals -- Juvenile fiction', 'Human-animal communication -- Juvenile fiction'}",hugh,M,1936,10012,307,2078,2385,6.768729641693811,1.9123134240719757
89,89,89,PG1155_text,The Secret Adversary,"Christie, Agatha",1890.0,1976.0,['en'],1970,"{'Detective and mystery stories', 'Missing persons -- Fiction', 'Beresford, Tommy (Fictitious character) -- Fiction', 'Married people -- Fiction', 'Private investigators -- England -- Fiction', 'Domestic fiction', 'Beresford, Tuppence (Fictitious character) -- Fiction'}",agatha,F,1940,11367,1437,2201,3638,1.5316631871955462,0.4263541954474367
90,90,90,PG1156_text,Babbitt,"Lewis, Sinclair",1885.0,1951.0,['en'],686,"{'Satire', 'Psychological fiction', 'Businessmen -- Fiction', 'Conformity -- Fiction', 'Middle-aged men -- Fiction'}",sinclair,M,1935,15589,1078,4555,5633,4.225417439703154,1.4411180582251162
91,91,91,PG11574_text,Master Skylark: A Story of Shakspere's Time,"Bennett, John",1865.0,1956.0,['en'],34,"{'Historical fiction', 'Shakespeare, William, 1564-1616 -- Juvenile fiction', 'England -- Juvenile fiction'}",john,M,1915,7182,398,2863,3261,7.193467336683417,1.9731732998136773
92,92,92,PG1158_text,Penrod and Sam,"Tarkington, Booth",1869.0,1946.0,['en'],61,"{'Boys -- Fiction', 'Bildungsromans', 'Middle West -- Fiction', 'Male friendship -- Fiction', 'Humorous stories'}",booth,M,1919,8868,615,2976,3591,4.839024390243902,1.5767131281464646
93,93,93,PG1162_text,The Jacket (The Star-Rover),"London, Jack",1876.0,1916.0,['en'],259,"{'Paranormal fiction', 'Death row inmates -- Fiction', 'California State Prison at San Quentin -- Fiction', 'Reincarnation -- Fiction', 'Prisoners -- Fiction', 'Psychological fiction', 'San Quentin (Calif.) -- Fiction', 'Astral projection -- Fiction'}",jack,M,1926,13843,537,1984,2521,3.6945996275605215,1.3068721933359533
94,94,94,PG1164_text,The Iron Heel,"London, Jack",1876.0,1916.0,['en'],522,"{'Socialism -- Fiction', 'Revolutions -- Fiction', 'Political fiction', 'Oligarchy -- Fiction', 'Science fiction', 'Revolutionaries -- Fiction', 'Dystopias -- Fiction'}",jack,M,1926,10510,215,2165,2380,10.069767441860465,2.3095376123089277
95,95,95,PG11668_text,The Gold Hunters: A Story of Life and Adventure in the Hudson Bay Wilds,"Curwood, James Oliver",1878.0,1927.0,['en'],26,"{'Gold mines and mining -- Fiction', 'Hudson Bay -- Fiction'}",james,M,1928,6407,169,2872,3041,16.994082840236686,2.8328652152450413
96,96,96,PG11673_text,Stickeen,"Muir, John",1838.0,1914.0,['en'],107,"{'Stickeen (Dog)', 'Dogs -- Alaska -- Anecdotes', 'Muir, John, 1838-1914'}",john,M,1888,797,7,217,224,31.0,3.4339872044851463
97,97,97,PG1167_text,A Strange Disappearance,"Green, Anna Katharine",1846.0,1935.0,['en'],227,"{'Women household employees -- Fiction', 'Missing persons -- Fiction', 'Mystery fiction', 'Police -- New York (State) -- New York -- Fiction', 'New York (N.Y.) -- Fiction'}",anna,F,1896,7937,1304,949,2253,0.727760736196319,-0.31778294387667044
98,98,98,PG1168_text,The Pool in the Desert,"Duncan, Sara Jeannette",1861.0,1922.0,['en'],26,"{'British -- India -- Fiction', 'India -- Social life and customs -- Fiction', 'Women -- India -- Fiction'}",sara,F,1911,10596,1956,1621,3577,0.8287321063394683,-0.1878583288590866
